OrderID,OrderDate,CustomerID,ProductID,ProductName,Category,Quantity,UnitPriceINR,DiscountRate,SalesINR,ProfitINR,City,State,Channel,PaymentMethod
O30045,2024-10-20,C2340,P1021,Office Chair,General,2,40438,0.05,76832,30858,Nagercoil,Tamil Nadu,Mobile App,Debit Card
O30046,2024-08-20,C2220,P1018,Power Bank 10000mAh,General,1,47180,0.05,44821,11173,Nagercoil,Tamil Nadu,Marketplace,Credit Card
O30047,2024-01-07,C2469,P1010,"LED Smart TV 43""",General,1,11741,0.0,11741,4771,Nagercoil,Tamil Nadu,Website,COD
O30048,2023-03-19,C2083,P1003,Running Shoes,General,1,10746,0.0,10746,3756,Chennai,Tamil Nadu,Mobile App,Debit Card
O30049,2024-11-16,C2429,P1006,Bluetooth Speaker,General,1,45274,0.1,40746,7168,Dindigul,Tamil Nadu,Mobile App,UPI
O30050,2023-10-17,C2328,P1013,Ceramic Dinner Set,General,2,13748,0.0,27496,6325,Karur,Tamil Nadu,Marketplace,Wallet
O30051,2023-07-03,C2297,P1013,Ceramic Dinner Set,General,1,13748,0.0,13748,3652,Nagercoil,Tamil Nadu,Marketplace,COD
O30052,2025-09-26,C2149,P1011,Kitchen Mixer Grinder,General,1,28645,0.1,25780,8369,Chennai,Tamil Nadu,Mobile App,COD
O30053,2025-07-23,C2291,P1022,Desk Lamp,General,1,42456,0.05,40333,16184,Kanchipuram,Tamil Nadu,Mobile App,COD
O30054,2024-06-29,C2073,P1015,Wrist Watch,General,1,2573,0.0,2573,851,Coimbatore,Tamil Nadu,Website,COD
O30055,2025-12-11,C2137,P1025,Car Mobile Holder,General,1,18901,0.0,18901,5119,Thoothukudi,Tamil Nadu,Mobile App,Credit Card
O30056,2025-07-03,C2166,P1011,Kitchen Mixer Grinder,General,1,28645,0.05,27212,7607,Nagercoil,Tamil Nadu,Mobile App,Debit Card
O30057,2023-04-08,C2358,P1017,Mobile Cover,General,1,40581,0.0,40581,11368,Erode,Tamil Nadu,Marketplace,UPI
O30058,2024-06-03,C2105,P1004,"Smartphone 6.5""",General,1,13735,0.05,13048,3861,Madurai,Tamil Nadu,Mobile App,UPI
O30059,2025-03-08,C2418,P1005,Wireless Earbuds,General,1,44929,0.05,42682,17067,Vellore,Tamil Nadu,Mobile App,Wallet
O30060,2024-08-25,C2386,P1028,Gaming Headset,General,1,21857,0.0,21857,6678,Nagercoil,Tamil Nadu,Mobile App,COD
O30061,2023-06-29,C2223,P1025,Car Mobile Holder,General,2,18901,0.15,32131,7632,Kanchipuram,Tamil Nadu,Mobile App,Debit Card
O30062,2024-03-05,C2199,P1009,Fitness Band,General,1,21672,0.1,19504,3436,Nagercoil,Tamil Nadu,Mobile App,Credit Card
O30063,2023-02-06,C2085,P1030,Smart Light Bulb,General,1,34154,0.0,34154,13573,Ramanathapuram,Tamil Nadu,Website,Wallet
O30064,2023-09-18,C2155,P1022,Desk Lamp,General,1,42456,0.0,42456,13939,Tiruchirappalli,Tamil Nadu,Marketplace,COD
O30065,2024-01-05,C2182,P1012,Air Fryer 3.5L,General,1,40718,0.0,40718,11803,Ramanathapuram,Tamil Nadu,Mobile App,Debit Card
O30066,2024-12-26,C2350,P1006,Bluetooth Speaker,General,1,45274,0.0,45274,6405,Coimbatore,Tamil Nadu,Website,Wallet
O30067,2025-09-20,C2031,P1003,Running Shoes,General,2,10746,0.1,19342,6733,Chennai,Tamil Nadu,Marketplace,Debit Card
O30068,2023-06-27,C2361,P1030,Smart Light Bulb,General,2,34154,0.0,68308,26903,Tiruchirappalli,Tamil Nadu,Marketplace,COD
O30069,2025-04-11,C2495,P1014,Makeup Kit,General,2,44484,0.0,88968,30353,Chennai,Tamil Nadu,Marketplace,UPI
O30070,2024-09-05,C2061,P1010,"LED Smart TV 43""",General,1,11741,0.0,11741,3598,Dindigul,Tamil Nadu,Mobile App,Debit Card
O30071,2024-09-17,C2107,P1010,"LED Smart TV 43""",General,3,11741,0.0,35223,11432,Coimbatore,Tamil Nadu,Marketplace,UPI
O30072,2024-03-15,C2033,P1009,Fitness Band,General,2,21672,0.0,43344,8911,Ramanathapuram,Tamil Nadu,Marketplace,Debit Card
O30073,2024-11-25,C2432,P1020,Vacuum Cleaner,General,1,15965,0.15,13570,3910,Tiruchirappalli,Tamil Nadu,Marketplace,Wallet
O30074,2024-10-08,C2225,P1002,Women's Kurta,General,3,5580,0.05,15903,5464,Ramanathapuram,Tamil Nadu,Website,Debit Card
O30075,2025-12-30,C2380,P1016,Sunglasses UV,General,1,36778,0.0,36778,15586,Tirunelveli,Tamil Nadu,Mobile App,Wallet
O30076,2024-08-06,C2180,P1011,Kitchen Mixer Grinder,General,1,28645,0.0,28645,7235,Ramanathapuram,Tamil Nadu,Website,Wallet
O30077,2025-09-24,C2313,P1003,Running Shoes,General,1,10746,0.1,9671,3827,Thoothukudi,Tamil Nadu,Mobile App,COD
O30078,2024-03-12,C2140,P1025,Car Mobile Holder,General,1,18901,0.0,18901,3888,Vellore,Tamil Nadu,Mobile App,COD
O30079,2023-06-04,C2454,P1017,Mobile Cover,General,1,40581,0.0,40581,10199,Karur,Tamil Nadu,Marketplace,Debit Card
O30080,2025-10-07,C2426,P1019,Home Heater,General,1,58187,0.05,55277,22070,Coimbatore,Tamil Nadu,Marketplace,COD
O30081,2025-09-22,C2195,P1011,Kitchen Mixer Grinder,General,1,28645,0.0,28645,7933,Coimbatore,Tamil Nadu,Mobile App,Credit Card
O30082,2024-04-02,C2078,P1025,Car Mobile Holder,General,3,18901,0.05,53867,13559,Kanchipuram,Tamil Nadu,Marketplace,Credit Card
O30083,2025-03-04,C2230,P1020,Vacuum Cleaner,General,1,15965,0.0,15965,3135,Karur,Tamil Nadu,Marketplace,Credit Card
O30084,2025-05-30,C2007,P1002,Women's Kurta,General,1,5580,0.0,5580,2049,Tiruchirappalli,Tamil Nadu,Website,UPI
O30085,2025-11-10,C2019,P1016,Sunglasses UV,General,1,36778,0.15,31261,15930,Erode,Tamil Nadu,Website,UPI
O30086,2024-05-17,C2020,P1030,Smart Light Bulb,General,2,34154,0.0,68308,32213,Ramanathapuram,Tamil Nadu,Marketplace,Wallet
O30087,2024-04-21,C2335,P1016,Sunglasses UV,General,1,36778,0.1,33100,17731,Dindigul,Tamil Nadu,Mobile App,UPI
O30088,2023-06-29,C2208,P1017,Mobile Cover,General,2,40581,0.05,77103,25043,Madurai,Tamil Nadu,Website,COD
O30089,2023-10-24,C2270,P1015,Wrist Watch,General,1,2573,0.0,2573,934,Tiruchirappalli,Tamil Nadu,Marketplace,COD
O30090,2025-07-12,C2283,P1013,Ceramic Dinner Set,General,1,13748,0.05,13060,2529,Thoothukudi,Tamil Nadu,Mobile App,Debit Card
O30091,2023-06-21,C2016,P1029,USB-C Cable,General,2,27263,0.0,54526,14523,Coimbatore,Tamil Nadu,Mobile App,Wallet
O30092,2023-03-05,C2423,P1027,Yoga Mat,General,1,35779,0.0,35779,14302,Erode,Tamil Nadu,Website,COD
O30093,2025-06-09,C2432,P1009,Fitness Band,General,1,21672,0.0,21672,4304,Tiruchirappalli,Tamil Nadu,Marketplace,Wallet
O30094,2025-12-29,C2024,P1014,Makeup Kit,General,1,44484,0.0,44484,14618,Vellore,Tamil Nadu,Mobile App,COD
O30095,2024-07-09,C2254,P1026,Water Bottle Stainless,General,1,19302,0.1,17371,4045,Coimbatore,Tamil Nadu,Website,Credit Card
O30096,2024-06-17,C2450,P1024,Mouse Wireless,General,1,22771,0.0,22771,6816,Karur,Tamil Nadu,Mobile App,Debit Card
O30097,2025-04-27,C2236,P1009,Fitness Band,General,1,21672,0.05,20588,4208,Ramanathapuram,Tamil Nadu,Website,Wallet
O30098,2025-06-09,C2427,P1001,Men's Cotton T-Shirt,General,2,16338,0.0,32676,4112,Tirunelveli,Tamil Nadu,Website,Credit Card
O30099,2025-04-14,C2007,P1003,Running Shoes,General,2,10746,0.0,21492,7942,Tiruchirappalli,Tamil Nadu,Marketplace,COD
O30100,2025-10-31,C2308,P1025,Car Mobile Holder,General,1,18901,0.0,18901,5125,Coimbatore,Tamil Nadu,Website,Debit Card
O30101,2023-02-24,C2316,P1011,Kitchen Mixer Grinder,General,2,28645,0.05,54425,19288,Salem,Tamil Nadu,Website,UPI
O30102,2024-07-04,C2047,P1021,Office Chair,General,3,40438,0.0,121314,46004,Vellore,Tamil Nadu,Mobile App,UPI
O30103,2023-01-04,C2499,P1009,Fitness Band,General,1,21672,0.05,20588,4332,Nagercoil,Tamil Nadu,Website,Credit Card
O30104,2024-01-14,C2097,P1030,Smart Light Bulb,General,1,34154,0.0,34154,12525,Erode,Tamil Nadu,Marketplace,Debit Card
O30105,2024-07-23,C2405,P1017,Mobile Cover,General,1,40581,0.1,36522,9149,Ramanathapuram,Tamil Nadu,Website,Wallet
O30106,2025-02-23,C2338,P1004,"Smartphone 6.5""",General,1,13735,0.0,13735,3624,Tiruchirappalli,Tamil Nadu,Mobile App,COD
O30107,2023-02-26,C2165,P1013,Ceramic Dinner Set,General,1,13748,0.0,13748,3446,Erode,Tamil Nadu,Marketplace,Wallet
O30108,2025-02-01,C2428,P1008,Backpack 25L,General,1,42606,0.0,42606,21434,Nagercoil,Tamil Nadu,Website,UPI
O30109,2023-08-02,C2163,P1007,"Laptop 14""",General,2,34499,0.05,65548,23773,Dindigul,Tamil Nadu,Mobile App,COD
O30110,2024-11-06,C2462,P1030,Smart Light Bulb,General,1,34154,0.15,29030,12611,Ramanathapuram,Tamil Nadu,Marketplace,Debit Card
O30111,2024-09-08,C2065,P1020,Vacuum Cleaner,General,2,15965,0.0,31930,6968,Erode,Tamil Nadu,Website,COD
O30112,2025-06-13,C2239,P1016,Sunglasses UV,General,1,36778,0.05,34939,16232,Madurai,Tamil Nadu,Website,UPI
O30113,2025-07-31,C2116,P1002,Women's Kurta,General,1,5580,0.0,5580,2190,Tiruchirappalli,Tamil Nadu,Website,UPI
O30114,2023-12-07,C2428,P1005,Wireless Earbuds,General,1,44929,0.0,44929,16066,Nagercoil,Tamil Nadu,Mobile App,UPI
O30115,2025-05-05,C2263,P1015,Wrist Watch,General,1,2573,0.0,2573,1024,Salem,Tamil Nadu,Mobile App,COD
O30116,2024-09-16,C2154,P1011,Kitchen Mixer Grinder,General,1,28645,0.05,27212,8116,Chennai,Tamil Nadu,Website,Debit Card
O30117,2023-10-04,C2080,P1002,Women's Kurta,General,1,5580,0.0,5580,1855,Nagercoil,Tamil Nadu,Website,Credit Card
O30118,2025-05-27,C2339,P1027,Yoga Mat,General,1,35779,0.05,33990,12513,Nagercoil,Tamil Nadu,Website,UPI
O30119,2025-11-28,C2096,P1006,Bluetooth Speaker,General,1,45274,0.0,45274,7854,Coimbatore,Tamil Nadu,Marketplace,Wallet
O30120,2025-04-27,C2478,P1010,"LED Smart TV 43""",General,1,11741,0.05,11153,4759,Erode,Tamil Nadu,Marketplace,Credit Card
O30121,2024-01-29,C2043,P1028,Gaming Headset,General,1,21857,0.0,21857,7516,Kanchipuram,Tamil Nadu,Marketplace,UPI
O30122,2023-07-15,C2369,P1012,Air Fryer 3.5L,General,1,40718,0.0,40718,11713,Tirunelveli,Tamil Nadu,Mobile App,Credit Card
O30123,2024-04-22,C2287,P1011,Kitchen Mixer Grinder,General,1,28645,0.15,24348,8466,Tirunelveli,Tamil Nadu,Marketplace,COD
O30124,2023-01-09,C2317,P1007,"Laptop 14""",General,1,34499,0.0,34499,9036,Tirunelveli,Tamil Nadu,Mobile App,COD
O30125,2023-09-14,C2300,P1002,Women's Kurta,General,1,5580,0.0,5580,2287,Chennai,Tamil Nadu,Website,Credit Card
O30126,2025-01-12,C2470,P1012,Air Fryer 3.5L,General,2,40718,0.1,73292,18569,Karur,Tamil Nadu,Marketplace,COD
O30127,2023-08-15,C2006,P1010,"LED Smart TV 43""",General,2,11741,0.05,22307,9021,Kanchipuram,Tamil Nadu,Mobile App,Wallet
O30128,2025-08-27,C2067,P1022,Desk Lamp,General,1,42456,0.0,42456,15789,Dindigul,Tamil Nadu,Website,Wallet
O30129,2023-03-17,C2226,P1003,Running Shoes,General,2,10746,0.05,20417,8228,Tiruchirappalli,Tamil Nadu,Website,Debit Card
O30130,2024-02-10,C2126,P1004,"Smartphone 6.5""",General,1,13735,0.0,13735,3773,Thoothukudi,Tamil Nadu,Website,UPI
O30131,2023-01-15,C2175,P1012,Air Fryer 3.5L,General,1,40718,0.05,38682,8854,Karur,Tamil Nadu,Mobile App,Wallet
O30132,2025-02-28,C2089,P1007,"Laptop 14""",General,1,34499,0.05,32774,11258,Nagercoil,Tamil Nadu,Mobile App,Wallet
O30133,2024-07-28,C2142,P1002,Women's Kurta,General,1,5580,0.1,5022,1881,Vellore,Tamil Nadu,Mobile App,Debit Card
O30134,2024-03-16,C2110,P1014,Makeup Kit,General,1,44484,0.1,40035,12834,Salem,Tamil Nadu,Website,COD
O30135,2023-05-23,C2088,P1007,"Laptop 14""",General,1,34499,0.05,32774,11276,Ramanathapuram,Tamil Nadu,Mobile App,Wallet
O30136,2023-02-20,C2310,P1028,Gaming Headset,General,2,21857,0.0,43714,14753,Coimbatore,Tamil Nadu,Marketplace,Debit Card
O30137,2025-02-27,C2265,P1027,Yoga Mat,General,2,35779,0.0,71558,32142,Tirunelveli,Tamil Nadu,Website,UPI
O30138,2024-02-16,C2314,P1001,Men's Cotton T-Shirt,General,1,16338,0.0,16338,2117,Coimbatore,Tamil Nadu,Mobile App,Credit Card
O30139,2023-09-13,C2139,P1026,Water Bottle Stainless,General,1,19302,0.1,17371,2948,Tirunelveli,Tamil Nadu,Mobile App,UPI
O30140,2025-10-10,C2216,P1029,USB-C Cable,General,1,27263,0.0,27263,6101,Dindigul,Tamil Nadu,Marketplace,Wallet
O30141,2023-06-16,C2457,P1016,Sunglasses UV,General,2,36778,0.05,69878,26606,Dindigul,Tamil Nadu,Marketplace,Wallet
O30142,2025-03-22,C2071,P1025,Car Mobile Holder,General,1,18901,0.15,16065,3942,Coimbatore,Tamil Nadu,Website,COD
O30143,2023-10-31,C2192,P1010,"LED Smart TV 43""",General,1,11741,0.0,11741,3739,Salem,Tamil Nadu,Marketplace,Credit Card
O30144,2023-11-12,C2230,P1006,Bluetooth Speaker,General,1,45274,0.0,45274,6586,Karur,Tamil Nadu,Mobile App,UPI
O30145,2024-08-06,C2119,P1025,Car Mobile Holder,General,1,18901,0.05,17955,4813,Thoothukudi,Tamil Nadu,Mobile App,Credit Card
O30146,2023-03-16,C2257,P1021,Office Chair,General,1,40438,0.05,38416,17559,Vellore,Tamil Nadu,Marketplace,Credit Card
O30147,2025-12-10,C2242,P1002,Women's Kurta,General,1,5580,0.0,5580,1707,Thoothukudi,Tamil Nadu,Mobile App,Credit Card
O30148,2024-12-26,C2392,P1016,Sunglasses UV,General,1,36778,0.0,36778,16204,Karur,Tamil Nadu,Marketplace,UPI
O30149,2025-11-02,C2359,P1004,"Smartphone 6.5""",General,1,13735,0.0,13735,4350,Tirunelveli,Tamil Nadu,Marketplace,Debit Card
O30150,2024-06-02,C2156,P1026,Water Bottle Stainless,General,1,19302,0.0,19302,2795,Tirunelveli,Tamil Nadu,Mobile App,Debit Card
O30151,2023-04-03,C2450,P1007,"Laptop 14""",General,1,34499,0.0,34499,9364,Karur,Tamil Nadu,Marketplace,Debit Card
O30152,2025-01-12,C2160,P1005,Wireless Earbuds,General,1,44929,0.15,38189,20119,Tirunelveli,Tamil Nadu,Mobile App,Debit Card
O30153,2024-02-27,C2212,P1026,Water Bottle Stainless,General,1,19302,0.05,18336,3569,Tirunelveli,Tamil Nadu,Mobile App,Wallet
O30154,2023-12-14,C2256,P1030,Smart Light Bulb,General,1,34154,0.0,34154,14922,Karur,Tamil Nadu,Mobile App,COD
O30155,2023-07-31,C2409,P1013,Ceramic Dinner Set,General,2,13748,0.0,27496,6399,Erode,Tamil Nadu,Marketplace,UPI
O30156,2025-07-01,C2445,P1003,Running Shoes,General,1,10746,0.05,10208,4050,Tirunelveli,Tamil Nadu,Website,Wallet
O30157,2025-11-21,C2239,P1003,Running Shoes,General,1,10746,0.05,10208,3781,Madurai,Tamil Nadu,Marketplace,Credit Card
O30158,2025-04-14,C2224,P1008,Backpack 25L,General,1,42606,0.0,42606,20089,Coimbatore,Tamil Nadu,Mobile App,Debit Card
O30159,2024-05-10,C2132,P1007,"Laptop 14""",General,1,34499,0.0,34499,11563,Salem,Tamil Nadu,Mobile App,Debit Card
O30160,2025-02-23,C2155,P1003,Running Shoes,General,1,10746,0.15,9134,3776,Tiruchirappalli,Tamil Nadu,Website,COD
O30161,2023-08-12,C2195,P1003,Running Shoes,General,1,10746,0.05,10208,3797,Coimbatore,Tamil Nadu,Mobile App,UPI
O30162,2024-03-19,C2376,P1020,Vacuum Cleaner,General,3,15965,0.0,47895,11233,Chennai,Tamil Nadu,Mobile App,UPI
O30163,2023-12-29,C2061,P1003,Running Shoes,General,2,10746,0.05,20417,7204,Dindigul,Tamil Nadu,Marketplace,Debit Card
O30164,2025-04-01,C2341,P1030,Smart Light Bulb,General,1,34154,0.1,30738,16236,Tirunelveli,Tamil Nadu,Marketplace,COD
O30165,2025-08-10,C2425,P1025,Car Mobile Holder,General,1,18901,0.0,18901,4335,Nagercoil,Tamil Nadu,Marketplace,Debit Card
O30166,2023-07-27,C2010,P1010,"LED Smart TV 43""",General,2,11741,0.0,23482,7405,Tirunelveli,Tamil Nadu,Website,UPI
O30167,2025-09-24,C2298,P1027,Yoga Mat,General,2,35779,0.0,71558,29150,Nagercoil,Tamil Nadu,Website,UPI
O30168,2025-01-17,C2280,P1005,Wireless Earbuds,General,1,44929,0.1,40436,18325,Salem,Tamil Nadu,Marketplace,UPI
O30169,2023-02-13,C2376,P1001,Men's Cotton T-Shirt,General,2,16338,0.0,32676,4252,Chennai,Tamil Nadu,Marketplace,UPI
O30170,2025-07-30,C2351,P1027,Yoga Mat,General,2,35779,0.0,71558,25251,Tirunelveli,Tamil Nadu,Website,COD
O30171,2025-04-20,C2017,P1003,Running Shoes,General,1,10746,0.0,10746,3670,Erode,Tamil Nadu,Mobile App,UPI
O30172,2024-11-21,C2455,P1021,Office Chair,General,1,40438,0.15,34372,14765,Coimbatore,Tamil Nadu,Mobile App,Credit Card
O30173,2024-12-30,C2420,P1017,Mobile Cover,General,2,40581,0.0,81162,21272,Tiruchirappalli,Tamil Nadu,Mobile App,Debit Card
O30174,2025-11-09,C2045,P1019,Home Heater,General,1,58187,0.0,58187,26180,Tirunelveli,Tamil Nadu,Mobile App,Wallet
O30175,2025-01-23,C2421,P1004,"Smartphone 6.5""",General,1,13735,0.0,13735,3733,Erode,Tamil Nadu,Mobile App,Debit Card
O30176,2024-08-16,C2271,P1003,Running Shoes,General,2,10746,0.05,20417,8060,Erode,Tamil Nadu,Marketplace,UPI
O30177,2023-09-26,C2317,P1005,Wireless Earbuds,General,1,44929,0.0,44929,21752,Tirunelveli,Tamil Nadu,Mobile App,Wallet
O30178,2024-08-07,C2377,P1010,"LED Smart TV 43""",General,2,11741,0.0,23482,7678,Salem,Tamil Nadu,Marketplace,Wallet
O30179,2025-11-07,C2300,P1003,Running Shoes,General,2,10746,0.1,19342,7132,Chennai,Tamil Nadu,Mobile App,Debit Card
O30180,2023-05-04,C2431,P1019,Home Heater,General,2,58187,0.0,116374,46767,Coimbatore,Tamil Nadu,Marketplace,COD
O30181,2023-07-01,C2168,P1020,Vacuum Cleaner,General,1,15965,0.0,15965,4204,Tirunelveli,Tamil Nadu,Website,Wallet
O30182,2025-03-03,C2182,P1024,Mouse Wireless,General,2,22771,0.0,45542,10764,Ramanathapuram,Tamil Nadu,Marketplace,Credit Card
O30183,2025-02-02,C2342,P1008,Backpack 25L,General,3,42606,0.1,115036,52513,Karur,Tamil Nadu,Mobile App,Wallet
O30184,2025-01-27,C2236,P1028,Gaming Headset,General,1,21857,0.0,21857,7723,Ramanathapuram,Tamil Nadu,Mobile App,COD
O30185,2024-05-26,C2104,P1022,Desk Lamp,General,1,42456,0.0,42456,15162,Tiruchirappalli,Tamil Nadu,Mobile App,COD
O30186,2025-11-06,C2042,P1016,Sunglasses UV,General,2,36778,0.0,73556,32971,Madurai,Tamil Nadu,Mobile App,Credit Card
O30187,2025-01-14,C2196,P1014,Makeup Kit,General,1,44484,0.05,42259,15614,Salem,Tamil Nadu,Website,Debit Card
O30188,2023-04-17,C2016,P1022,Desk Lamp,General,1,42456,0.0,42456,18749,Coimbatore,Tamil Nadu,Marketplace,UPI
O30189,2024-06-29,C2027,P1010,"LED Smart TV 43""",General,1,11741,0.0,11741,4052,Tirunelveli,Tamil Nadu,Website,Wallet
O30190,2025-03-21,C2026,P1021,Office Chair,General,2,40438,0.0,80876,37884,Dindigul,Tamil Nadu,Website,UPI
O30191,2025-10-07,C2268,P1010,"LED Smart TV 43""",General,1,11741,0.05,11153,4325,Vellore,Tamil Nadu,Marketplace,Credit Card
O30192,2024-07-29,C2103,P1025,Car Mobile Holder,General,2,18901,0.0,37802,10128,Tiruchirappalli,Tamil Nadu,Mobile App,Wallet
O30193,2024-09-11,C2339,P1018,Power Bank 10000mAh,General,1,47180,0.0,47180,13535,Nagercoil,Tamil Nadu,Mobile App,Wallet
O30194,2023-02-18,C2011,P1002,Women's Kurta,General,2,5580,0.0,11160,3736,Nagercoil,Tamil Nadu,Marketplace,Debit Card
